onset,offset,key,degree,quality,inversion,roman number
524,528,G,1,m,1,i6
528,534,G,5,M,2,V64
534,788,G,2,M,0,II
788,792,G,3,m,0,iii
792,796,G,+1,d,0,+i-
796,800,G,5,M,2,V64
800,804,G,2,M,0,II
804,808,G,3,m,0,iii
808,812,G,+1,d,0,+i-
812,820,G,5,M,1,V6
820,824,G,6,m,1,vi6
824,828,G,+4,d,0,+iv-
828,832,G,1,M,1,I6
832,910,G,5,M,2,V64
910,912,G,4,M,0,IV
912,916,G,1,M,1,I6
916,920,G,4,M,0,IV
920,924,G,1,M,1,I6
924,928,G,4,M,0,IV
928,932,G,1,M,0,I
932,936,G,4,M,0,IV
936,938,G,1,M,1,I6
938,940,G,6,m,0,vi
940,942,G,4,M,0,IV
942,944,G,2,m,1,ii6
944,950,G,6,m,1,vi6
950,952,G,5,M,0,V
952,956,G,1,M,1,I6
956,960,G,4,M,0,IV
960,964,G,1,M,1,I6
964,968,G,4,M,0,IV
968,972,G,1,M,0,I
972,974,G,4,M,0,IV
974,976,G,1,M,0,I
976,978,G,-6,M,0,-VI
978,980,G,-3,M,0,-III
980,982,G,-6,M,0,-VI
982,984,G,1,M,0,I
984,988,G,3,m,0,iii
988,990,G,6,m,0,vi
990,992,G,7/6,d,0,vii-/vi
992,994,G,6,m,1,vi6
994,996,G,2,m,0,ii
996,1000,G,2,m,1,ii6
1000,1004,G,-7,M,0,-VII
1004,1008,G,3,M,0,III
1008,1012,G,5/4,D7,0,V7/IV
1012,1014,G,5,D7,0,V7
1014,1016,G,1,M,0,I
1016,1038,G,5,M,0,V
1038,1040,G,5/6,M,0,V/vi
1040,1041,G,6,m,2,vi64
1041,1042,G,5/6,M,0,V/vi
1042,1046,G,6,m,2,vi64
1046,1048,G,5/6,M,0,V/vi
1048,1056,G,5,M,0,V
1056,1057,G,1,M,2,I64
1057,1058,G,5,M,0,V
1058,1060,G,2,m,1,ii6
1060,1064,G,5,D7,0,V7
1064,1074,G,5,M,0,V
1074,1076,G,1,M,0,I
1076,1078,G,5/6,D7,0,V7/VI
1078,1082,G,6,M,0,VI
1082,1084,G,5,D7,0,V7
1084,1086,G,7/5,d7,0,vii-7/V7
1086,1088,G,6,M,0,VI
1088,1090,G,2,M,0,II
1090,1091,G,1,M,0,I
1091,1092,G,-7,M,0,-VII
1092,1093,G,7/5,m,1,vii-6/V
1093,1094,G,5,M,0,V
1094,1128,G,5,D7,3,V42
1128,1154,G,1,M,1,I6
1154,1156,G,6,m,0,vi
1156,1158,G,4,M,2,IV64
1158,1160,G,2,m,1,ii6
1160,1166,G,6,m,1,vi6
1166,1168,G,5,M,0,V
1168,1192,G,1,M,0,I
1192,1194,G,-6,M,1,-VI6
1194,1196,G,5/-6,M,0,V/-VI
1196,1198,G,-6,M,0,-VI
1198,1200,G,1,M,0,I
1200,1204,G,5/6,M,0,V/vi
1204,1208,G,6,m,0,vi
1208,1210,G,6,m,1,vi6
1210,1212,G,2,m,0,ii
1212,1214,G,2,m,1,ii6
1214,1216,G,2,M,1,II6
1216,1220,G,5,M,0,V
1220,1224,G,4,M,1,IV6
1224,1228,G,5,M,0,V
1228,1232,G,6,m,0,vi
1232,1236,G,5,m,2,v64
1236,1240,G,7,h7,0,vii=7
1240,1244,G,2,m,2,ii64
1244,1252,G,5,D7,0,V7
1252,1256,G,1,M,2,I64
1256,1260,G,5,M,1,V6
1260,1292,G,1,M,0,I
1292,1293,G,5/6,M,0,V/vi
1293,1296,G,6,m,0,vi
1296,1300,G,2,m,0,ii
1300,1302,G,2,m,1,ii6
1302,1304,G,-6,M,0,-VI
1304,1306,G,5/6,D7,0,V7/vi
1306,1308,G,6/6,M,0,VI/vi
1308,1310,G,5/5,M,0,V/V
1310,1316,G,5,M,1,V6
1316,1388,G,1,M,0,I
