onset,offset,role,instrument
87,92,mel+rhythm,violin1
87,91,mel+harm,viola
87,91,mel+harm,violoncello
87,91,mel+harm,doublebass
91,93,rhythm+harm,flute
91,93,rhythm+harm,oboe1
91,93,rhythm+harm,oboe2
91,93,rhythm+harm,horn1
91,93,rhythm+harm,horn2
93,99,harm,bassoon1
93,99,harm,bassoon2
93,115,mel,violin1
93,112,harm,viola
93,97,rhythm+harm,violoncello
93,97,rhythm+harm,doublebass
97,99,harm,violoncello
97,99,harm,doublebass
99,106,rhythm+harm,violoncello
99,106,rhythm+harm,doublebass
100,108,harm,oboe1
100,112,harm,oboe2
102,106,rhythm+harm,bassoon1
102,106,rhythm+harm,bassoon2
103,107,mel,flute
106,115,mel+harm,bassoon1
106,115,mel+harm,bassoon2
106,115,mel+harm,violoncello
106,115,mel+harm,doublebass
108,115,mel,oboe1
108,115,mel+rhythm,violin2
110,115,mel,flute
111,115,mel,oboe2
111,115,mel+harm,viola
114,118,rhythm,horn1
114,118,rhythm,horn2
114,118,mel,violin1
114,118,mel,violin2
117,121,mel,bassoon1
117,121,mel,bassoon2
117,121,mel,flute
117,121,mel,oboe1
119,121,harm,viola
119,121,harm,violoncello
119,121,harm,doublebass
120,124,rhythm,horn1
120,124,rhythm,horn2
120,124,mel,violin1
120,124,mel,violin2
123,128,mel,bassoon1
123,128,mel,bassoon2
123,128,mel,flute
123,128,mel,oboe1
125,128,harm,viola
125,128,harm,violoncello
125,128,harm,doublebass
126,132,harm,violin1
132,136,mel,violin1
134,136,harm,violin2
134,136,harm,viola
134,136,harm,violoncello
134,136,harm,doublebass
136,137,rhythm+harm,flute
136,137,rhythm+harm,oboe1
136,137,rhythm+harm,oboe2
136,137,rhythm+harm,bassoon1
136,137,rhythm+harm,bassoon2
136,137,rhythm+harm,horn1
136,137,rhythm+harm,horn2
136,137,rhythm+harm,violin1
136,137,rhythm+harm,violin2
136,137,rhythm+harm,viola
136,137,rhythm+harm,violoncello
136,137,rhythm+harm,doublebass
138,142,mel,violin1
140,142,harm,violin2
140,142,harm,viola
140,142,harm,violoncello
140,142,harm,doublebass
142,143,rhythm+harm,flute
142,143,rhythm+harm,oboe1
142,143,rhythm+harm,oboe2
142,143,rhythm+harm,bassoon1
142,143,rhythm+harm,bassoon2
142,143,rhythm+harm,horn1
142,143,rhythm+harm,horn2
142,143,rhythm+harm,violin1
142,143,rhythm+harm,violin2
142,143,rhythm+harm,viola
142,143,rhythm+harm,violoncello
142,143,rhythm+harm,doublebass
144,150,mel,violin1
144,150,mel,violin2
148,150,harm,viola
148,150,harm,violoncello
148,150,harm,doublebass
150,157,mel,oboe1
150,157,mel,oboe2
150,156,harm,bassoon1
150,156,harm,bassoon2
150,156,harm,horn1
150,156,harm,horn2
150,163,mel,violin1
150,163,rhythm,violin2
150,163,rhythm,viola
150,162,rhythm,violoncello
150,162,rhythm,doublebass
156,163,mel,flute
156,163,mel,bassoon1
162,166,mel,violoncello
162,166,mel,doublebass
162,174,rhythm,bassoon1
162,174,rhythm,bassoon2
162,174,rhythm,horn1
162,174,rhythm,horn2
163,166,mel,viola
166,167,rhythm+harm,viola
166,167,rhythm+harm,violoncello
166,167,rhythm+harm,doublebass
166,170,mel,violin1
166,170,mel,violin2
168,172,mel,viola
168,172,mel,violoncello
168,172,mel,doublebass
172,173,rhythm+harm,viola
172,173,rhythm+harm,violoncello
172,173,rhythm+harm,doublebass
172,185,mel,violin1
172,185,mel,violin2
174,185,rhythm,viola
174,185,rhythm,violoncello
174,185,rhythm,doublebass
180,184,harm,horn1
180,184,harm,horn2
184,190,mel,oboe1
184,190,mel,bassoon1
186,190,harm,flute
186,190,harm,oboe2
186,190,harm,bassoon2
186,190,harm,horn1
186,190,harm,horn2
186,189,mel,violin1
186,207,rhythm,violin2
186,207,rhythm,viola
186,207,rhythm,violoncello
186,207,rhythm,doublebass
189,192,rhythm,violin1
190,196,mel,oboe1
190,196,mel,bassoon1
192,196,harm,flute
192,196,harm,oboe2
192,196,harm,bassoon2
192,196,harm,horn1
192,196,harm,horn2
192,195,mel,violin1
195,198,rhythm,violin1
196,199,mel,flute
196,199,mel,oboe1
196,199,mel,oboe2
196,199,mel,bassoon1
196,199,mel,bassoon2
198,208,harm,horn1
198,208,harm,horn2
198,213,mel,violin1
200,212,harm,flute
199,212,harm,oboe1
199,208,harm,oboe2
199,208,harm,bassoon1
199,208,harm,bassoon2
207,212,harm,violin2
207,212,harm,viola
207,212,harm,violoncello
207,212,harm,doublebass
211,213,mel,oboe1
213,218,mel,oboe1
213,218,mel,oboe2
213,218,mel,bassoon1
213,218,mel,bassoon2
213,218,harm,horn1
213,218,harm,horn2
213,218,mel+rhythm,violin1
213,240,rhythm,violin2
213,217,mel+harm,viola
213,217,mel+harm,violoncello
213,217,mel+harm,doublebass
217,219,rhythm+harm,flute
217,219,rhythm+harm,horn1
217,219,rhythm+harm,horn2
219,224,harm,flute
219,224,mel,oboe1
219,224,mel,oboe2
219,224,mel,bassoon1
219,224,mel,bassoon2
219,224,harm,horn1
219,224,harm,horn2
219,224,mel+rhythm,violin1
219,223,mel+harm,viola
219,223,mel+harm,violoncello
219,223,mel+harm,doublebass
223,225,rhythm+harm,flute
223,225,rhythm+harm,oboe1
223,225,rhythm+harm,oboe2
223,225,rhythm+harm,horn1
223,225,rhythm+harm,horn2
225,231,harm,bassoon1
225,231,harm,bassoon2
225,247,mel,violin1
225,244,harm,viola
225,229,rhythm+harm,violoncello
225,229,rhythm+harm,doublebass
229,231,harm,violoncello
229,231,harm,doublebass
231,238,rhythm+harm,violoncello
231,238,rhythm+harm,doublebass
232,240,harm,oboe1
232,244,harm,oboe2
234,238,rhythm+harm,bassoon1
234,238,rhythm+harm,bassoon2
235,239,mel,flute
238,247,mel+harm,bassoon1
238,247,mel+harm,bassoon2
238,247,mel+harm,violoncello
238,247,mel+harm,doublebass
240,247,mel,oboe1
240,247,mel+rhythm,violin2
242,247,mel,flute
243,247,mel,oboe2
243,247,mel+harm,viola
246,250,rhythm,horn1
246,250,rhythm,horn2
246,250,mel,violin1
246,250,mel,violin2
249,253,mel,bassoon1
249,253,mel,bassoon2
249,253,mel,flute
249,253,mel,oboe1
251,253,harm,viola
251,253,harm,violoncello
251,253,harm,doublebass
252,256,rhythm,horn1
252,256,rhythm,horn2
252,256,mel,violin1
252,256,mel,violin2
255,260,mel,bassoon1
255,260,mel,bassoon2
255,260,mel,flute
255,260,mel,oboe1
257,260,harm,viola
257,260,harm,violoncello
257,260,harm,doublebass
258,264,harm,violin1
264,273,mel,violin1
264,266,harm,violin2
264,266,harm,viola
264,266,harm,violoncello
264,266,harm,doublebass
268,274,mel,flute
268,274,mel+harm,oboe1
268,274,mel+harm,oboe2
268,274,mel+harm,bassoon1
268,274,mel+harm,bassoon2
268,274,mel+harm,horn1
268,274,mel+harm,horn2
270,298,rhythm,violin2
270,298,rhythm,viola
270,298,rhythm,violoncello
270,298,rhythm,doublebass
273,276,rhythm,violin1
274,280,mel,flute
274,280,mel+harm,oboe1
274,280,mel+harm,oboe2
274,280,mel+harm,bassoon1
274,280,mel+harm,bassoon2
276,280,harm,horn1
276,280,harm,horn2
276,279,mel,violin1
279,282,rhythm,violin1
280,285,mel,flute
280,283,mel,flute
280,283,mel,flute
280,285,mel,flute
280,283,mel,flute
282,298,mel,violin1
283,298,harm,oboe1
283,298,harm,oboe2
283,298,harm,bassoon2
284,294,harm,horn1
284,294,harm,horn2
285,298,harm,flute
285,298,harm,bassoon1
298,300,harm,violin1
298,300,mel,violin2
298,304,harm,viola
298,302,harm,violoncello
298,302,harm,doublebass
299,300,mel,bassoon1
300,302,mel,violin1
300,302,harm,violin2
301,302,mel,oboe1
302,304,harm,violin1
302,304,mel,violin2
303,310,mel,flute
304,310,mel,oboe1
304,309,rhythm+harm,violin1
304,309,rhythm+harm,violin2
304,309,rhythm+harm,viola
304,310,rhythm+harm,violoncello
304,310,rhythm+harm,doublebass
308,310,harm,oboe2
308,310,harm,bassoon1
308,310,harm,bassoon2
308,310,harm,horn1
308,310,harm,horn2
309,314,mel,violin1
309,322,rhythm,violin2
309,322,rhythm,viola
313,317,mel,violoncello
313,317,mel,doublebass
315,322,mel,violin1
317,321,rhythm+harm,violoncello
317,321,rhythm+harm,doublebass
321,330,rhythm,bassoon1
321,330,rhythm,bassoon2
321,330,rhythm,horn1
321,330,rhythm,horn2
321,325,mel,viola
321,325,mel,violoncello
322,325,mel,doublebass
325,326,rhythm+harm,viola
325,326,rhythm+harm,violoncello
325,326,rhythm+harm,doublebass
325,329,mel,violin1
325,329,mel,violin2
327,331,mel,viola
327,331,mel,violoncello
327,331,mel,doublebass
330,348,rhythm,flute
330,348,rhythm,flute
330,348,rhythm,flute
330,348,rhythm,flute
330,349,rhythm,flute
330,348,rhythm,flute
330,348,rhythm,flute
330,343,mel,violin1
330,343,mel,violin2
332,342,rhythm+harm,viola
332,342,rhythm+harm,violoncello
332,342,rhythm+harm,doublebass
342,348,mel,viola
342,348,mel,violoncello
342,348,mel,doublebass
343,348,rhythm+harm,violin1
343,348,rhythm+harm,violin2
348,357,mel,flute
348,356,harm,oboe1
348,356,harm,oboe2
348,357,mel,bassoon1
348,355,harm,horn1
348,355,harm,horn1
348,357,mel,violin1
348,356,rhythm,violin2
348,356,rhythm,viola
348,356,rhythm,violoncello
348,356,rhythm,doublebass
357,362,mel,flute
357,362,mel,oboe1
357,362,mel,bassoon1
357,362,mel,bassoon2
357,362,harm,horn1
357,362,harm,horn2
357,362,mel+rhythm,violin1
357,384,rhythm,violin2
357,361,mel+harm,viola
357,361,mel+harm,violoncello
357,361,mel+harm,doublebass
361,363,rhythm+harm,oboe1
361,363,rhythm+harm,oboe2
361,363,rhythm+harm,horn1
361,363,rhythm+harm,horn2
363,368,mel,flute
363,368,mel,oboe1
363,368,mel,bassoon1
363,368,mel,bassoon2
363,368,harm,horn1
363,368,harm,horn2
363,368,mel+rhythm,violin1
363,367,mel+harm,viola
363,367,mel+harm,violoncello
363,367,mel+harm,doublebass
367,369,rhythm+harm,flute
367,369,rhythm+harm,oboe1
367,369,rhythm+harm,oboe2
367,369,rhythm+harm,horn1
367,369,rhythm+harm,horn2
369,375,harm,bassoon1
369,375,harm,bassoon2
369,390,mel,violin1
369,388,harm,viola
369,382,rhythm+harm,violoncello
369,382,rhythm+harm,doublebass
376,382,harm,flute
376,382,harm,oboe2
376,378,harm,horn1
376,378,harm,horn2
378,383,mel,oboe1
378,382,rhythm+harm,bassoon1
379,382,rhythm+harm,bassoon2
382,391,mel+harm,flute
382,391,mel+harm,oboe2
382,391,mel+harm,bassoon1
382,391,mel+harm,bassoon2
382,391,mel+harm,violoncello
382,391,mel+harm,doublebass
384,391,mel,oboe1
384,390,mel+rhythm,violin2
387,391,mel,horn1
387,391,mel+harm,horn2
387,391,mel+harm,viola
390,394,rhythm,violin1
390,394,rhythm,violin2
391,394,mel,bassoon1
391,394,mel,bassoon2
393,397,mel,horn1
393,397,mel,horn2
393,397,mel,flute
393,397,mel,oboe1
395,397,harm,viola
395,397,harm,violoncello
395,397,harm,doublebass
396,400,mel,bassoon1
396,400,mel,bassoon2
396,400,rhythm,violin1
396,400,rhythm,violin2
399,403,mel,horn1
399,403,mel,horn2
399,403,mel,flute
399,403,mel,oboe1
401,404,harm,oboe2
401,404,harm,bassoon1
401,404,harm,bassoon2
401,404,harm,viola
401,404,harm,violoncello
401,404,harm,doublebass
402,409,mel,violin1
407,409,harm,violin2
407,409,harm,viola
407,409,harm,violoncello
407,409,harm,doublebass
409,414,mel,flute
409,414,mel,bassoon1
409,410,rhythm+harm,horn1
409,410,rhythm+harm,horn2
409,410,rhythm+harm,violin1
409,410,rhythm+harm,violin2
409,410,rhythm+harm,viola
409,410,rhythm+harm,violoncello
409,410,rhythm+harm,doublebass
412,413,rhythm+harm,horn1
412,413,rhythm+harm,horn2
410,413,rhythm+harm,violin1
410,413,rhythm+harm,violin2
410,413,rhythm+harm,viola
410,413,rhythm+harm,violoncello
410,413,rhythm+harm,doublebass
414,421,mel,oboe1
414,421,mel,oboe2
414,420,harm,bassoon1
414,420,harm,bassoon2
414,420,harm,horn1
414,420,harm,horn2
414,434,mel,violin1
414,427,rhythm,violin2
414,427,rhythm,viola
414,427,rhythm,violoncello
414,427,rhythm,doublebass
420,427,mel,flute
420,427,mel,bassoon1
426,432,rhythm,horn1
426,432,rhythm,horn2
427,434,harm,violin2
427,434,harm,viola
427,434,harm,violoncello
427,434,harm,doublebass
431,434,mel,flute
432,434,harm,oboe1
432,434,harm,oboe2
432,434,harm,bassoon1
432,434,harm,bassoon2
432,434,harm,horn1
432,434,harm,horn2
