onset,offset,key,degree,quality,inversion,roman number
194,196,e,1,m,0,i
196,197,e,5,M,0,V
197,198,e,6,m,3,vi42
198,199,e,5,m,0,v
199,200,e,4,m,1,iv6
200,201,e,5,m,0,v
201,202,e,2,h7,1,ii=65
202,203,e,1,m,1,i6
203,204,e,5,D7,2,V43
204,205,e,5,M,0,V
205,206,e,6,m7,3,vi42
206,207,e,5,m,0,v
207,208,e,4,m,1,iv6
208,209,e,5,m,0,v
209,210,e,2,h7,1,ii=65
210,211,e,1,m,0,i
211,212,e,5,D7,2,V43
212,213,e,1,m,0,i
213,214,e,5,m,0,v
214,215,e,1,m,0,i
215,216,e,5,m,0,v
216,217,e,1,m,0,i
217,218,e,7,M,1,VII6
218,219,e,3,m,0,iii
219,220,e,5/7,M,0,V/VII
220,224,e,7,M,0,VII
224,225,e,1,m,0,i
225,226,e,5,m,0,v
226,227,e,1,m,0,i
227,228,e,5,m,0,v
228,232,e,1,m,0,i
232,236,e,5,M,1,V6
236,268,G,7/5,d7,0,vii-7/V
268,276,G,5,D7,1,V65
276,284,G,1,M,0,I
284,288,G,5,M,1,V6
288,292,G,5,D7,1,V65
292,300,G,1,M,0,I
300,304,F,7/5,d7,2,vii-43/V
304,308,F,5,D7,0,V7
308,320,F,1,M,2,I64
320,322,F,1,M,2,I64
322,324,F,5,D7,0,V7
324,332,F,1,M,2,I64
332,336,G,7/6,d7,0,vii-7/vi
336,340,G,6,m,0,vi
340,344,G,7,d7,0,vii-7
344,352,G,1,M,0,I
352,356,G,4,M,0,IV
356,362,G,1,M,2,I64
362,364,G,5,M,0,V
364,368,G,1,M,0,I
368,372,G,2,h7,3,ii=42
372,376,G,1,M,0,I
376,378,G,5,M,0,V
378,380,G,1,M,0,I
380,384,G,1,M,0,I
384,388,G,2,h7,3,ii=42
388,392,G,1,M,0,I
392,394,G,5,M,0,V
394,396,G,1,M,0,I
396,400,G,1,M,0,I
400,402,G,2,h7,3,ii=42
402,404,G,1,M,0,I
404,408,G,1,M,0,I
408,410,G,2,h7,3,ii=42
410,412,G,1,M,0,I
412,420,G,1,M,0,I
420,421,G,1,M,1,I6
421,422,G,5,D7,3,V42
422,424,G,1,M,0,I
424,425,G,1,M,1,I6
425,426,G,5,D7,3,V42
426,428,G,1,M,0,I
428,429,G,1,M,1,I6
429,430,G,5,D7,3,V42
430,432,G,1,M,0,I
432,433,G,1,M,1,I6
433,434,G,5,D7,3,V42
434,436,G,1,M,0,I
436,438,G,5/6,M,0,V/vi
438,440,G,6,m,0,vi
440,442,G,5/6,M,0,V/vi
442,444,G,6,m,0,vi
444,452,G,1,m,0,i
452,453,G,1,m,1,I6
453,454,G,5,D7,3,V42
454,456,G,1,M,0,I
456,457,G,1,M,1,I6
457,458,G,5,D7,3,V42
458,460,G,1,M,0,I
460,461,G,1,M,1,I6
461,462,G,5,D7,3,V42
462,464,G,1,M,0,I
464,465,G,1,M,1,I6
465,466,G,5,D7,3,V42
466,468,G,1,M,0,I
468,508,G,1,M,0,I
508,512,G,1,M,0,I
512,516,G,4,M,2,IV64
516,524,G,1,M,0,I
524,532,G,7,d7,1,vii-65
532,540,G,1,M,0,I
540,544,G,1,M,0,I
544,548,G,4,M,2,IV64
548,556,G,1,M,0,I
556,564,G,2/6,d7,0,ii-7/vi
564,572,G,5/6,D7,2,V43/vi
572,576,G,6,m,1,vi6
576,577,G,6,m,0,vi
577,578,G,1,m,1,i6
578,579,G,6,m,0,vi
579,580,G,1,m,1,i6
580,584,G,6,m,1,vi6
584,585,G,6,m,0,vi
585,586,G,1,m,1,i6
586,587,G,6,m,0,vi
587,588,G,1,m,1,i6
588,604,F,5,D7,3,V42
604,608,F,7,d7,0,vii-7
608,812,F,5,D7,0,V7
812,620,F,1,M,0,I
620,628,F,1,M,0,I
628,636,F,1,a,0,I+
636,652,F,+1,M,0,+I
652,660,F,+1,a,0,+I+
660,700,g,1,M,0,I
700,724,g,6,M,1,VI6
724,732,g,6,m,1,vi6
732,740,g,5/6,D7,2,V43/vi
740,748,g,6,m,1,vi6
748,756,g,2,m,0,ii
756,764,g,7,d7,2,vii-43
764,772,g,7,d7,2,vii-43
772,776,g,7/3,d7,0,vii-7/iii
776,780,g,3,m,1,iii6
780,788,g,7/5,d7,2,vii-43/v
788,804,g,1,m,2,i64
804,816,g,1,m,2,i64
816,824,g,3,M,1,III6
824,828,g,5/5/6,D7,0,V7/V/vi
828,836,g,6,m,3,vi42
836,852,g,6,m,2,vi64
852,860,g,6,m,2,vi64
860,876,g,6,m,1,vi6
876,884,g,6,m,1,vi6
884,888,g,4,M,1,IV6
888,892,E,2/5/5,M,0,II/V/V
892,896,E,7/5/5,M,0,VII/V/V
896,900,E,5/5/5,M,0,V/V/V
900,904,E,5/5,D7,0,V7/V
904,912,E,5,D7,0,V7
912,920,E,1,M,2,I64
920,928,E,5,D7,0,V7
928,936,E,1,M,2,I64
936,940,D,5/5,D7,0,V7/V
940,942,D,1,M,2,I64
942,944,D,5,D7,0,V7
944,950,D,1,M,2,I64
950,952,D,5,D7,0,V7
952,958,D,1,M,2,I64
958,960,D,5,D7,0,V7
960,968,D,1,M,2,I64
968,972,E,7/6,d7,0,vii-7/vi
972,976,E,6,m,0,vi
976,980,E,7,h7,0,vii=7
980,984,E,1,M,0,I
984,986,E,1,M,1,I6
986,988,E,1,a,0,I+
988,990,E,4,M,0,IV
990,992,E,5/5,D7,0,V7/V
992,1000,E,5,M,0,V
1000,1008,E,1,M,0,I
1008,1012,E,4,m,2,iv64
1012,1024,E,1,M,0,I
1024,1028,E,4,m,2,iv64
1028,1036,E,1,M,0,I
1036,1040,E,4,m,2,iv64
1040,1044,E,1,M,0,I
1044,1048,E,4,m,2,iv64
1048,1052,E,+4,d7,2,+iv-64
1052,1056,E,4,m,2,iv64
1056,1060,E,4,m,2,+iv64
1060,1064,E,7,h7,0,vii=7
1064,1080,E,1,M,0,I
1080,1096,E,1,M,0,I
1096,1112,e,7/5,d7,0,vii-7/V
1112,1120,e,1,m,2,i64
1120,1121,e,1,m,2,i64
1121,1122,e,5,m,0,v
1122,1123,e,1,m,2,i64
1123,1124,e,5,m,0,v
1124,1125,e,1,m,2,i64
1125,1126,e,5,m,0,v
1126,1127,e,1,m,2,i64
1127,1128,e,5,m,0,v
1128,1129,e,1,m,2,i64
1129,1130,e,5,m,0,v
1130,1131,e,1,m,2,i64
1131,1132,e,5,m,0,v
1132,1133,e,1,m,2,i64
1133,1134,e,5,m,0,v
1134,1135,e,1,m,2,i64
1135,1136,e,5,m,0,v
1136,1137,e,1,m,2,i64
1137,1138,e,5,m,0,v
1138,1139,e,1,m,2,i64
1139,1140,e,5,m,0,v
1140,1141,e,1,m,2,i64
1141,1142,e,5,m,0,v
1142,1143,e,1,m,2,i64
1143,1144,e,5,m,0,v
1144,1152,e,1,m,2,i64
1152,1168,e,6,M,1,VI6
1168,1170,e,7,d7,1,vii-6
1170,1172,e,1,m,1,i6
1172,1174,e,7,h7,2,vii=43
1174,1176,e,5,D7,0,V7
1176,1177,e,7/4,d7,0,vii-7/IV
1177,1178,e,4,M,0,IV
1178,1180,e,1,m,2,i43
1180,1181,e,7/4,d7,0,vii-7/IV
1181,1182,e,4,M,0,IV
1182,1184,e,1,m,2,i43
1184,1185,e,5/-2,D7,0,V7/-II
1185,1186,e,5/-2,M,0,VI/-II
1186,1187,e,7/-2,M,0,VII/-II
1187,1188,e,5/6/-2,M,0,V/VI/-II
1188,1189,e,6/-2,M,0,VI/-II
1189,1190,e,-2,M,0,-II
1190,1191,e,1,M,2,I64
1191,1192,e,5,D7,0,V7
1192,1196,e,1,m,0,i
1196,1200,e,-5,M,0,-V
1200,1204,e,1,m,0,i
1204,1208,e,+6,m,0,+vi
1208,1212,e,4,m,0,iv
1212,1216,e,-2,M,0,-II
1216,1304,e,1,m,0,i
1304,1312,e,1,m,0,i
1312,1316,e,7,M,0,VII
1316,1318,e,2,d,1,ii-6
1318,1320,e,7,M,2,VII64
1320,1332,e,1,M,0,I
1332,1336,e,1,a,0,I+
1336,1340,e,1,M,0,I
1340,1344,e,1,a,0,I+
1344,1345,e,1,M,0,I
1345,1346,e,1,a,0,I+
1346,1347,e,1,M,0,I
1347,1348,e,1,a,0,I+
1348,1349,e,1,M,0,I
1349,1350,e,1,a,0,I+
1350,1351,e,1,M,0,I
1351,1352,e,1,a,0,I+
1352,1392,e,1,M,0,I
