ï»¿onset,offset,role,instrument
476,491,harm,horn34
476,491,mel,trombone1
476,491,harm,trombone2
476,491,harm,trombone3
476,491,harm,tuba
496,500,harm,flute1
496,500,harm,flute2
492,500,harm,oboe1
492,500,harm,oboe2
492,496,harm,clarinet1
492,496,harm,clarinet2
488,492,rhythm,timpani
492,500,mel,violin1
492,500,mel,violin2
496,500,harm,viola
496,500,harm,violoncello
488,496,mel,violoncello
502,506,mel,doublebass
