onset,offset,key,degree,quality,inversion,roman number
1048,1049,Ab,1,M,2,I64
1049,1050,Ab,4,M,0,IV
1050,1052,Ab,5,D7,0,V7
1052,1056,Ab,1,M,0,I
1056,1058,Ab,6,m,0,vi
1058,1060,Ab,3,m,0,iii
1060,1062,Ab,5,D7,0,V7
1062,1064,Ab,1,M,0,I
1064,1065,Ab,2,m,0,ii
1065,1066,Ab,5,D7,0,V7
1066,1072,Ab,1,M,0,I
1072,1074,Ab,6,m,0,vi
1074,1076,Ab,3,m,0,iii
1076,1078,Ab,5,D7,0,V7
1078,1080,Ab,1,M,0,I
1080,1081,Ab,2,M,1,ii6
1081,1082,Ab,5,D7,0,V7
1082,1084,Ab,1,M,1,I6
1084,1085,Ab,2,m,0,ii
1085,1086,Ab,5,D7,0,V7
1086,1088,Ab,1,M,1,I6
1088,1092,Ab,5/5,D7,0,V7/V
1092,1096,Ab,5,D7,0,V7
1096,1104,Ab,1,M,0,I
1104,1112,e,4,M,0,IV
1112,1120,e,4,m,0,iv
1120,1128,e,7/5,h7,0,vii7/V
1128,1136,e,5,D7,0,V7
1136,1140,e,6,M,0,VI
1140,1144,e,4,m7,0,iv7
1144,1148,e,6,M,0,VI
1148,1168,e,4,m7,0,iv7
1168,1170,e,2,h7,0,ii7
1170,1171,e,1,m,2,i64
1171,1172,e,5,M,0,V
1172,1174,e,1,m,0,i
1174,1176,e,4,m7,0,iv7
1176,1177.5,e,1,m,0,i
1177.5,1178,e,5,M,0,V
1178,1179.5,e,1,m,0,i
1179.5,1180,e,5,M,0,V
1180,1180.5,e,1,m,0,i
1180.5,1181,e,5,M,0,V
1181,1181.5,e,1,m,0,i
1181.5,1182,e,5,M,0,V
1182,1182.5,e,1,m,0,i
1182.5,1183,e,5,M,0,V
1183,1183.5,e,1,m,0,i
1183.5,1184,e,5,M,0,V
1184,1188,e,1,m,0,i
1188,1196,e,6,M,0,VI
1196,1197,e,6,M,0,VI
1197,1198,e,1,m,0,i
1198,1210,e,1,m,0,i
